area,step,persistence,model,advantage
jing_jin_ji,5,0.9640407562255859,0.8475633859634399,-0.116477370262146
jing_jin_ji,6,0.9583923816680908,0.8229908347129822,-0.13540154695510864
minnan_coast,1,0.9580162763595581,0.9573982954025269,-0.00061798095703125
minnan_coast,2,0.9763224124908447,0.942462682723999,-0.0338597297668457
minnan_coast,3,0.9685930609703064,0.9242047071456909,-0.04438835382461548
minnan_coast,4,0.9418827891349792,0.8760734796524048,-0.06580930948257446
minnan_coast,5,0.9659079313278198,0.8554742932319641,-0.11043363809585571
minnan_coast,6,0.9528400897979736,0.8322601914405823,-0.12057989835739136
north_china_plain,1,0.9748769402503967,0.9665063619613647,-0.008370578289031982
north_china_plain,2,0.9700757265090942,0.9502459764480591,-0.019829750061035156
north_china_plain,3,0.972331702709198,0.945649266242981,-0.02668243646621704
north_china_plain,4,0.9404178261756897,0.9162936210632324,-0.024124205112457275
north_china_plain,5,0.9629547595977783,0.9250045418739319,-0.037950217723846436
north_china_plain,6,0.9440964460372925,0.9060710668563843,-0.0380253791809082
northeast_plain,1,0.964163064956665,0.9590770602226257,-0.005086004734039307
northeast_plain,2,0.9422733187675476,0.9173206090927124,-0.024952709674835205
northeast_plain,3,0.955866277217865,0.8393057584762573,-0.11656051874160767
northeast_plain,4,0.9547306895256042,0.7625556588172913,-0.192175030708313
northeast_plain,5,0.9671201705932617,0.6780487895011902,-0.28907138109207153
northeast_plain,6,0.9454566836357117,0.5928822159767151,-0.3525744676589966
ordos_desert_edge,1,0.9787819385528564,0.9445617198944092,-0.034220218658447266
ordos_desert_edge,2,0.9869458675384521,0.9180254340171814,-0.06892043352127075
ordos_desert_edge,3,0.9189388751983643,0.7772560715675354,-0.14168280363082886
ordos_desert_edge,4,0.9688449501991272,0.8066138625144958,-0.16223108768463135
ordos_desert_edge,5,0.9679004549980164,0.7367485761642456,-0.23115187883377075
ordos_desert_edge,6,0.9649131298065186,0.6999598145484924,-0.2649533152580261
pearl_river,1,0.9713850021362305,0.969110906124115,-0.0022740960121154785
pearl_river,2,0.977896511554718,0.9528094530105591,-0.025087058544158936
pearl_river,3,0.9752732515335083,0.9367161989212036,-0.03855705261230469
pearl_river,4,0.961472749710083,0.8871991634368896,-0.07427358627319336
pearl_river,5,0.9581182599067688,0.8639040589332581,-0.09421420097351074
pearl_river,6,0.9585857391357422,0.8239034414291382,-0.134682297706604
poyang_lake,1,0.965959370136261,0.9626041650772095,-0.0033552050590515137
poyang_lake,2,0.9429078698158264,0.933424711227417,-0.009483158588409424
poyang_lake,3,0.947527289390564,0.9097755551338196,-0.037751734256744385
poyang_lake,4,0.9339842796325684,0.886318564414978,-0.04766571521759033
poyang_lake,5,0.9108666181564331,0.896858811378479,-0.014007806777954102
poyang_lake,6,0.9224401712417603,0.8759869337081909,-0.046453237533569336
